timestamp,open,high,low,close,volume,prom_dia,100_medias,48_medias,20_medias,10_medias,cambio_dia
2019-12-18,6623.84,7440.0,6435.0,7277.83,8148610071.086629,6937.5,8433.229449999999,7977.83125,7313.785750000001,7184.173,-653.9899999999998
2019-12-19,7277.83,7380.0,7038.31,7150.3,4472047171.9757595,7209.155000000001,8399.861949999999,7931.55,7285.58575,7130.9800000000005,127.52999999999975
2019-12-20,7151.31,7220.0,7079.5,7187.83,2553745066.5349455,7149.75,8370.26355,7891.021979166667,7265.736,7105.7455,-36.51999999999953
2019-12-21,7188.01,7190.58,7105.0,7132.75,1211391802.1297603,7147.79,8340.89605,7846.642291666666,7241.9485,7092.4855,55.26000000000022
2019-12-22,7131.59,7518.54,7122.47,7501.44,3563412468.733867,7320.505,8309.9299,7803.588854166667,7230.541749999999,7087.2065,-369.84999999999945
2019-12-23,7500.71,7695.38,7265.84,7317.09,5546770301.05868,7480.610000000001,8280.17495,7762.041875,7232.275500000001,7100.492,183.6199999999999
2019-12-24,7317.3,7436.68,7157.04,7255.77,3550639622.9562,7296.860000000001,8251.76945,7723.818020833333,7240.27225,7123.5625,61.529999999999745
2019-12-25,7255.77,7271.77,7128.86,7204.63,2317685572.0016313,7200.3150000000005,8221.6773,7681.1388541666665,7234.69025,7139.06,51.14000000000033
2019-12-26,7205.01,7435.0,7157.12,7202.0,3068835947.5958557,7296.0599999999995,8191.515449999998,7638.687083333333,7228.831,7148.6590000000015,3.0100000000002183
2019-12-27,7202.0,7275.86,7076.42,7254.74,2921532840.4236064,7176.139999999999,8162.460999999998,7603.6362500000005,7221.258250000001,7178.965000000001,-52.73999999999978
2019-12-28,7254.77,7365.01,7238.67,7316.14,2385872619.837975,7301.84,8132.4322999999995,7569.755,7202.820749999999,7221.4685,-61.36999999999989
2019-12-29,7315.36,7528.45,7288.0,7388.24,3087946482.1831713,7408.225,8105.560699999998,7535.447604166667,7194.441249999999,7257.902499999999,-72.88000000000011
2019-12-30,7388.43,7408.24,7220.0,7246.0,2530154078.8201327,7314.12,8077.931,7505.504375,7191.777500000001,7277.8095,142.4300000000003
2019-12-31,7246.0,7320.0,7145.01,7195.23,2197589052.601783,7232.505,8050.688699999999,7476.052708333334,7193.365999999999,7294.246499999999,50.77000000000044
2020-01-01,7195.24,7255.0,7175.15,7200.85,1525721503.4304237,7215.075,8023.298899999999,7443.94875,7194.96225,7302.718000000001,-5.610000000000582
2020-01-02,7200.77,7212.5,6924.74,6965.71,2942369556.475568,7068.62,7997.120849999998,7413.1940625,7196.333500000001,7292.175,235.0600000000004
2020-01-03,6965.49,7405.0,6871.04,7344.96,6082595745.679824,7138.02,7979.8321,7381.394479166666,7187.26925,7250.976,-379.47000000000025
2020-01-04,7345.0,7404.0,7272.21,7354.11,2384623357.2838483,7338.105,7966.484099999999,7353.613645833334,7187.075999999999,7235.092,-9.109999999999673
2020-01-05,7354.19,7495.0,7318.0,7358.75,3068978057.4309773,7406.5,7958.785199999999,7329.556666666666,7198.764999999999,7248.870999999999,-4.5600000000004
2020-01-06,7357.64,7795.34,7346.76,7758.0,4683526283.916834,7571.05,7952.26445,7311.3220833333335,7219.4400000000005,7259.914999999999,-400.3599999999997
2020-01-07,7758.9,8207.68,7723.71,8145.28,7806758757.3478775,7965.695,7946.3945,7300.076979166665,7260.43725,7299.406,-386.3800000000001
