open_time,open,high,low,close,volume,1hora%,4hora%,8hora%,dia%,2dias%,1semana%,2semanas%,1mes%,RSI,EMA_9,EMA_21,EMA_50,EMA_100,EMA_200,pred_dia%,resistencia
2025-02-20 03:00:00,97134.52,97362.83,96979.29,97055.25,821.46063,0.08160847451555232,-0.425146338063981,-0.8821749540104097,-1.4052725381792979,-0.889033264033264,0.45454069922363693,0.30857987007844356,5.276140980126633,68.72086097661776,96698.70714082506,96340.35203692428,96075.32765503362,96180.38317735854,96519.23138517066,-1.1197127409388006,0
2025-02-20 04:00:00,97055.24,97339.11,97034.59,97224.46,848.42996,-0.17434399478648133,-0.3825139658690438,-1.0851863034504268,-2.11167808044733,-1.2008330105679432,-0.30641471467425224,0.40213278403014846,4.752142586614062,72.04776647769017,96803.85771266006,96420.72548811298,96120.39166856172,96201.0579659257,96526.24858531822,-1.0075139527645496,0
2025-02-20 05:00:00,97224.46,97224.46,96891.47,96909.99,667.47648,0.32344741230756247,-0.147073914252567,-0.617085657116545,-1.7007780409412088,-1.360220622450763,-0.2520110921708256,0.9419055034131614,5.483655331986377,58.6670083793689,96825.08417012806,96465.2040801027,96151.35630901028,96215.09622402619,96530.06690785236,-1.4689816808359968,0
2025-02-20 06:00:00,96909.99,96999.3,96781.57,96907.99,494.4039,0.002063770721676888,0.2332126621925952,-0.38133475450811183,-1.3508992346598687,-1.599073207681688,-0.886215977393361,1.503147421368837,5.230669481804118,58.58716087774215,96841.66533610245,96505.45734554791,96181.02821846087,96228.81689285736,96533.82733662995,-1.549923798852912,0
2025-02-20 07:00:00,96908.0,97088.87,96804.0,96867.92,330.86128,0.04134849974703529,0.19301377308285925,-0.23131197399290088,-1.2333976850318518,-1.4781430745782473,-0.8303196526124715,1.352086921197396,5.688184832928592,56.8000425697741,96846.91626888196,96538.40849595264,96207.96515107025,96241.47239992948,96537.15164173812,-1.3542563936543663,0
2025-02-20 08:00:00,96867.92,97197.74,96801.61,97150.01,395.65532,-0.2912109602435941,0.07657538031068688,-0.3056456740342512,-1.5894804548238366,-2.006659254428517,-1.2573947074333858,0.9970810701852647,4.955929003113518,65.37855993296628,96907.53501510556,96594.00863268421,96244.9080863224,96259.46324349524,96543.24973485517,-1.0945958729186016,0
2025-02-20 09:00:00,97150.01,97284.0,97150.0,97184.63,437.65289,-0.03563561136021488,-0.28339699550066966,-0.4308877128073936,-1.300045654770726,-1.4708076505636412,-0.9581949310347563,1.449869243247512,4.413584427021744,66.3254890958965,96962.95401208446,96647.70148425837,96281.75992607446,96277.78337728741,96549.63162804069,-1.1864736224236203,0
2025-02-20 10:00:00,97184.63,97374.0,97095.75,97373.98,380.16934,-0.19483533558752167,-0.4808581831074926,-0.24652409874470152,-1.083417972659064,-1.704029036216932,-1.2668182677581952,1.655656361317123,4.238273995189593,71.2823566409392,97045.15920966757,96713.72680387125,96324.59208583625,96299.4902411035,96557.83409940347,-1.2714074129454338,0
2025-02-20 11:00:00,97373.98,97384.03,97156.19,97207.92,376.29918,0.17053837174982237,-0.35099339389139356,-0.15730215521571297,-0.8144563618902544,-1.639036414968832,-1.3373036528183264,1.6890209843464727,4.646224626755215,62.04106099066764,97077.71136773407,96758.65345806477,96359.23239619561,96317.47894920046,96564.30261582731,-1.4622059601727972,0
2025-02-20 12:00:00,97207.93,97549.88,97207.92,97428.36,625.06274,-0.22677164576713743,-0.2865156678831076,-0.20972088711008954,-1.3122249300275628,-1.2831985362912455,-1.6782251105924568,0.9331636875446658,4.139514921841348,68.32993682740954,97147.84109418726,96819.53587096797,96401.15896889383,96339.47659377074,96572.90020173948,-1.514589797057037,0
2025-02-20 13:00:00,97428.37,97566.26,97268.51,97562.19,579.18384,-0.13736246817661896,-0.3884976461812919,-0.6729956323388301,-1.3343195100331904,-1.3843811701132727,-1.5483062859655177,1.057061290306221,4.828777586451103,71.62324701454305,97230.71087534982,96887.04988269816,96446.68959756466,96363.68874042874,96582.74388132418,-1.8170358824458437,0
2025-02-20 14:00:00,97562.2,98062.15,96877.51,96966.91,1978.87773,0.6101544051030413,0.41804802473925007,-0.06079994023196462,-1.2536556428548549,-1.496888686802777,-1.1578493512682426,0.888292834599288,7.837958056713251,46.699562692626124,97177.95070027985,96894.30989336196,96467.09039766017,96375.63371586578,96586.5664297687,-1.8675030482047952,0
2025-02-20 15:00:00,96966.92,97326.07,96799.42,96903.77,1218.04897,0.06511499644569413,0.3128860282166249,-0.037009156385319125,-1.0006176536374325,-1.4205546871009882,-0.9435300735432031,0.44108329448905037,7.94173518043098,44.79195339031393,97123.11456022388,96895.16990305633,96484.215087948,96386.09186010605,96589.72268419887,-1.2386205407694555,0
2025-02-20 16:00:00,96903.76,97968.0,96888.0,97550.73,1157.08865,-0.6676314038143117,-0.1255999793078682,-0.4124755108105508,-1.2987850467289679,-3.0756029322914062,-2.298162673729918,-0.9978262075957142,7.2175282325770445,62.77133750450117,97208.63764817911,96954.76627550575,96526.03920214612,96409.1540014901,96599.28494604764,-0.681778598683989,0
2025-02-20 17:00:00,97550.73,97999.99,97541.4,97954.95,675.22698,-0.4143690159981388,-0.4025739889602671,-0.7926356256128078,-1.624013884489774,-4.094263085990793,-2.3647304599575585,-1.2816993372820253,7.5266658094788745,69.84995795272195,97357.9001185433,97045.69206864158,96582.07491970902,96439.76382324277,96612.77415056458,1.003573581529063,0
2025-02-20 18:00:00,97954.95,98436.0,97943.34,98295.08,1292.67668,-0.34723104855855136,-1.3697146789559431,-0.945940589056754,-2.743310532165919,-4.653814364651946,-2.4291085793517873,-2.053887980544218,6.762486365821038,74.54846808847118,97545.33609483465,97159.27278967417,96649.25158952436,96476.50275743597,96629.51351225052,1.7819406627473091,0
2025-02-20 19:00:00,98295.09,98518.0,98241.99,98422.8,694.65442,-0.12993529279390298,-1.5675654311488592,-1.2497747097150158,-2.303647964057339,-4.589234862568218,-2.9228332860667323,-2.541908462956985,5.1529709345780255,76.15826809071075,97720.82887586772,97274.13889970379,96718.80250758224,96515.04329689268,96647.3571588948,3.1879706734618423,0
